Stock,Comment,Commented By,Timestamp
Deepak Nitrite,"Motilal  Oswal  Midcap  30  Fund  sold  7.6  lakh  shares  0.56  percent  stake  of  Deepak  Nitrite  Ltd  at  Rs  2,653.22  per  share  via  a  bulk  deal  on  December  3.",Deepak Nitrite,03-12-2024 21:09
Deepak Nitrite,Who  purchase  this  institution  or  promotor,Deepak Nitrite,03-12-2024 22:17
Deepak Nitrite,Q3  numbers  to  coming  in  february,Deepak Nitrite,04-01-2025 07:26
Deepak Nitrite,vag  deepak  vag  2540  onboard  buy  only  buy  good  move,Deepak Nitrite,04-01-2025 10:49
Deepak Nitrite,Deepak  Nitrite  is  surely  buy  buy  buy  very  soon  2536,Deepak Nitrite,04-01-2025 11:12
Deepak Nitrite,"Target  price  of  R  2800  by  February,  2024.  Deepak  Nitrite  has  increased  rates  of  IPA",Deepak Nitrite,04-01-2025 12:49
Deepak Nitrite,Ready  to  fly  at  any  point  of  time.  Dont  loose  patience.,Deepak Nitrite,04-02-2025 15:10
Deepak Nitrite,dont  repeat  your  message,Deepak Nitrite,04-03-2025 23:22
Deepak Nitrite,Purchase  DEEPAKNTR  at  2188  with  a  target  set  at  2209-2245  and  a  stop-loss  at  2160    for  intraday  trading.,Deepak Nitrite,04-04-2024 09:51
Deepak Nitrite,itnay  Mehnegay  mein  kaun  buy  kar  rha  hai  bhai  itna  paisa  kahan  se  latay  hain  log,Deepak Nitrite,04-07-2024 11:33
Deepak Nitrite,"achieved    -3000  target  hold  it  investors  stock  for  long  term  ,  enjoy  investing  not  for  traders  and  operator.  others  pl  exit  the  forum  as  they  will  be  sad  once  it  is  3000  missing  feelings

next  target  is  3500  this  year  
4000  next  year  
10000  long  term
only  for  investors  with  stable  mind  set",Deepak Nitrite,04-08-2024 22:34
Deepak Nitrite,buy  deepaknntr  moved  above  20  dma  and  is  looking  very  strong,Deepak Nitrite,04-09-2024 09:39
Deepak Nitrite,"Deepak  Nitrite  all  salling  products  average  25%  UP,  65  DAYS",Deepak Nitrite,04-09-2024 11:19
Deepak Nitrite,its  moving  up  in  falling  market  it  can  move  4-5  percent  easily,Deepak Nitrite,04-09-2024 11:48
Deepak Nitrite,its  just  fake  upmove  global  market  are  also  seeing  slowdown  .....  usa  is  falling  and  phenol  is  not  rising  sell  for  2000  level  s,Deepak Nitrite,04-09-2024 11:55
Deepak Nitrite,deepak  ntr  is  70  rupees  above  yesterday  close  for  now  reason   rejected  increase  in  anti  dumping  duties  for  chemicals  but  still  operator  is  creating  fomo  it  should  be  down  100  rupees  today  instead  of  rising,Deepak Nitrite,04-09-2024 13:01
Deepak Nitrite,go  short  srf  instead  of  deepak  ntr  .....chemicals  are  weak,Deepak Nitrite,04-09-2024 13:02
Deepak Nitrite,short  deepak  baba  for  2960  levels  now  very  weak  ....technical  its  a  sell  for  today,Deepak Nitrite,04-09-2024 13:40
Deepak Nitrite,hard  core  bulls  should  sell  only  below  2800   for  few  days  this  fake  spike  will  be  sold  into,Deepak Nitrite,04-09-2024 15:05
Deepak Nitrite,lag  gayi  lanka  market  depth  mein  35000  buyers  aur  70000  sellers  there  is  2  sellers  for  every  buyer,Deepak Nitrite,04-09-2024 15:12
Deepak Nitrite,Morgan  Stanley  gave  target  of  3300.....,Deepak Nitrite,04-09-2024 17:04
Deepak Nitrite,who  will  buy  for  3300  Morgan  Stanley  or  retailers    ...  1000  crore  ki  buying  to  deepak  ntr  ko  hi  chahiye  hogi,Deepak Nitrite,04-09-2024 22:58
Deepak Nitrite,back  to  the  same  price  again  ..  kitna  aur  add  kare..  this  looks  difficult  crossing  2500  in  the  near  future..,Deepak Nitrite,04-10-2024 16:44
Deepak Nitrite,future  lover  Be  ready  for  trades  everyday  with  the  most  accuratte  Cals  Daily  Basis  Just  Texxct  On  Vhatsap  eight  Double  4549  Tw0  O56….,Deepak Nitrite,04-10-2024 16:46
Deepak Nitrite,"The  board  of  directors  of  Deepak  Nitrite  at  their  meeting  held  October  4,  2023  have  approved  incorporation  of  new  wholly  owned  subsidiary  of  the  company  and  investment  up  to  Rs  5  Crores  in  the  Equity  Capital  of  proposed  WOS,  from  time  to  time,  in  one  or  more  tranches.  The  proposed  WOS  shall  engage  in  the  business  of  providing  Project  Engineering,  Procurement,  Construction,  Commissioning,  Management  and  Consultancy  services.",Deepak Nitrite,04-10-2024 16:59
Deepak Nitrite,"Nitrite  is  coming  out,    Its  going  to  ICU",Deepak Nitrite,04-10-2024 18:35
Deepak Nitrite,"Deepak  Nitrite  is  on  the  verge  of  collapse,  its  going  to  fall  very  sharply  in  coming  days..  View  more",Deepak Nitrite,04-11-2024 17:19
Deepak Nitrite,"DEEPAK  PMC  LIMITED  (%u2018DPMCL%u2019)  has  been  incorporated  on  2nd  December,  2023  as  a  wholly  owned  subsidiary  of  the  Company.  The  Authorised  and  Paid-up  Equity  Share  Capital  of  DPMCL  shall  be  %u20B9  5  Crores.  DPMCL  shall  engage  in  the  business  of  inter  alia  providing  Project  Engineering,  Procurement,  Construction,  Commissioning,  Management  and  Consultancy  services.",Deepak Nitrite,04-12-2024 11:59
Deepak Nitrite,immediately  book  full  profit  and  exit  for  lower  tgt  is  below  2630rs,Deepak Nitrite,04-12-2024 12:06
Deepak Nitrite,????I  am  not  judging  how  big  failure  u  r  ....  parle  g  bhi  mehenga  hogaya  2  saal  mein  ye  share  parle  g  ko  bhi  beat  nhi  kar  pa  rha  hai,Deepak Nitrite,04-12-2024 12:54
Deepak Nitrite,something  big  is  coming  in  this  counter  fasten  ur  seat  belts.  last  time  at  this  rate,Deepak Nitrite,05-01-2025 15:12
Deepak Nitrite,"3000  target  hold  it  investors  stock  for  long  term  ,  enjoy  investing  not  for  traders  and  operator.  others  pl  exit  the  forum  as  they  will  be  sad  once  it  is  3000  missing  feelings",Deepak Nitrite,05-04-2024 12:19
Deepak Nitrite,"cautious  for  this  stock,  monsoon  will  come  ????",Deepak Nitrite,05-06-2024 22:40
Deepak Nitrite,"please  share  the  latest  updates  about  the  q1  results,  revenue  np  and  EPS  etc",Deepak Nitrite,05-08-2024 18:37
Deepak Nitrite,Result  unload  bse  web  site.,Deepak Nitrite,05-08-2024 19:38
Deepak Nitrite,Deepak  Nitrite  Q1  Results  Profit  Rises  35,Deepak Nitrite,05-08-2024 20:14
Deepak Nitrite,Results  are  not  bad  but  global  factors  coupled  with  geo  political  tensions  will  bring  the  price  down  by  at  least  10  percent  from  current  level,Deepak Nitrite,05-08-2024 20:35
Deepak Nitrite,"Results  are  good,  revenue  beats  Bloomberg  estimates  by  38cr  while  PAT  misses  estimates  by  7-8  cr",Deepak Nitrite,05-08-2024 20:48
Deepak Nitrite,no  signs  of  recovery  in  phenol  and  other  chemicals  so  just  liquidity  rush  it  might  be,Deepak Nitrite,05-08-2024 23:08
Deepak Nitrite,technically  its  a  sell  at  these  levels  look  2950     break  downsoon,Deepak Nitrite,05-09-2024 09:31
Deepak Nitrite,kisiko  is  stock  ma  half  blocked  and  half  allocated  stock  Aisa  dikha  Raha  hai?  iska  matlab  kya?,Deepak Nitrite,05-09-2024 09:49
